CUI	UMLS_PREF	INCORRECT
C0678227	causing (attribute)	causing
C0220820	differential diagnostic aspects	differential diagnosis
C0719022	Bronchial brand of guaifenesin-theophylline	bronchial
C0154015	benign neoplasm of renal pelvis	renal pelvis
C0348902	neoplasm of uncertain or unknown behavior of renal pelvis	renal pelvis
C0028678	nursing therapy	nursing care
C1279102	entire ilium	ilium
C0222045	integumentary scale	scale
C0205468	parasitological	parasitology
C1269903	entire posterior crural muscle	calf muscle
C1280361	entire vocal cord	vocal cord
C0243077	inhibitors	inhibitors
C0470207	2	2
C1184743	process	processing
C0700645	encounter due to ear piercing	ear piercing
C0220812	cost aspects	costs
C0202335	beryllium measurement	beryllium
C1268979	entire parietal lobe	parietal lobe
C1289266	entire transplanted cornea	cornea transplant
C1305287	entire choroid	choroid
C1149750	asparaginase activity	asparaginase
C1150174	collagenase activity	collagenase
C1268972	entire middle ear	middle ear
C0723349	sinus pain brand of acetaminophen-pseudoephedrine	sinus pain
C0496873	benign neoplasm of retroperitoneum	retroperitoneum
C0496953	neoplasm of uncertain or unknown behavior of retroperitoneum	retroperitoneum
C1161337	cinnamonum ceylanicum, cinnamon, homeopathic preparation	cinnamon
C0039986	thoracic surgery specialty	thoracic surgery
C1150095	hydrolase, acting on peptide bonds activity	protease
C1283846	entire pelvic floor	pelvic floor
C1280736	entire palatine tonsil	palatine tonsil
C0337443	sodium measurement	Na
C1281692	entire articular cartilage	articular cartilage
C0161635	poisoning by expectorant	expectorants
C0851326	expectorants causing adverse effects in therapeutic use	expectorants
C0439114	upper case oh	o
C0439139	lower case oh	o
C0153418	malignant neoplasm of pylorus	pylorus
C1306480	entire navicular	navicular
C0025362	mental retardation	Mr
C0026266	mitral valve insufficiency	Mr
C0311284	lipoid dermatoarthritis	Mr
C0374711	repair - action	repair
C0201888	angiotensin converting enzyme measurement	angiotensin converting enzyme
C0677519	injury caused by vibration	vibration
C0220931	training	training
C0700136	epiphysis disorders	epiphysis
C1278895	entire cochlea	cochlea
C0678227	causing (attribute)	cause
C1314792	etiology	cause
C0000846	agenesis	agenesis
C1269006	entire tricuspid valve	tricuspid valve
C1151861	phosphatase activity	phosphatase
C1278940	entire brachial artery	brachial artery
C0201829	acetylcholinesterase measurement	acetylcholinesterase
C1149827	acetylcholinesterase activity	acetylcholinesterase
C0723712	Therapeutic brand of coal tar	therapeutic
C0939936	electricity, homeopathic preparation	electricity
C1278902	entire sphenoid sinus	sphenoid sinus
C0034571	roentgenographic	x rays
C1152935	toxin activity	toxin
C0750480	count	counts
C0243192	agonists	agonist
C0939797	banana extract	banana
C1039591	musa x paradisiaca	banana
C1080913	musa acuminata	banana
C0332273	through (qualifier value)	tos
C0031098	periodontic specialty	periodontics
C0476643	encounter due to drug use	drug use
C0719635	dos	do
C1305909	entire truncus arteriosus of fetus	truncus arteriosus
C1280260	entire skeletal muscle (organ)	skeletal muscle
C0728873	Monitor brand of insecticide	monitor
C0993608	disk drug form	discs
C1148756	telomerase activity	telomerase
C1269056	entire glenohumeral joint	shoulder joint
C0751438	posterior pituitary disease	posterior
C0205469	pathological aspects	pathological
C1266915	entire condyle	condyle
C0220909	aspects of disease screening	screen
C1269548	entire external ear	pinna
C0038895	surgical aspects	operations
C1281690	entire labyrinth	labyrinth
C1279104	entire iliac crest	iliac crest
C1150423	kinase activity	kinase
C1279062	entire cranium	cranium
C1269064	entire metacarpal	metacarpal
C1305043	entire iliopsoas muscle	iliopsoas
C0243113	instruments	instruments
C0178499	base	based
C1269023	entire superior vena cava	superior vena cava
C1149472	growth factor activity	growth factor
C1171258	complication aspects	complications
C0228319	anteromedial nucleus	ams
C0000769	teratologic	teratology
C0348080	condition (attribute)	condition
C0439224	microsecond	micro
C1281322	entire carotid sinus	carotid sinus
C0220810	congenital defects	birth defect
C1269010	entire aortic arch	aortic arch
C1267072	entire vertebral column	vertebral column
C1278984	entire seminal vesicle	seminal vesicle
C1279105	entire pubis	pubis
C0802014	allergens identified:presence or identity:point in time:serum:nominal	allergens
C1278864	entire sural nerve	sural nerve
C0543483	pathogenic aspects	pathogenesis
C1278931	entire pancreas	pancrea
C1269024	entire inferior vena cava	inferior vena cava
C1282775	entire flat bone	bones flat
C0452172	toxic effect of chloroform	chloroform
C1305762	entire wisdom tooth	wisdom tooth
C1280659	entire oropharynx	oropharynx
C1152936	endotoxin activity	endotoxin
C1279035	entire chest wall	chest wall
C1278906	entire carina	carina
C0004818	basketball game	basketball
C0205466	virologic	virology
C0448536	entire tendon of supraspinatus muscle	supraspinatus tendon
C1304959	entire sternocleidomastoid muscle	sternocleidomastoid
C0452211	local anaesthetics causing adverse effects in therapeutic use	local anesthetics
C0473977	local anesthetic agent poisoning	local anesthetics
C0441913	is (tumor staging)	is
C1281297	entire hair follicle	hair follicle
C0011884	diabetic retinopathy	Dr
C1321509	entire axis vertebra	axis
C1268971	entire tympanic membrane	tympanic membrane
C0038137	standards characteristics	standards
C0008903	taxonomic	classification
C0220924	teaching aspects	teaching
C1269892	entire left ventricle	left ventricle
C0243103	ethnicity	ethnicity
C1269536	entire ductus arteriosus	ductus arteriosus
C0373546	angiotensin ii assay	angiotensin ii
C0243163	supply aspects	supplies
C0180580	electrocardiographic monitoring (regime/therapy)	electrocardiography
C1268965	entire celiac artery	celiac artery
C0557651	room of building - study	study
C0947630	scientific study	study
C1279039	entire peritoneal cavity	peritoneal cavity
C1268980	entire occipital lobe	occipital lobe
C0745732	list	list
C1318419	entire human body (body structure)	body human
C0740697	psychosocial problem	psychosocial
C0205054	hepatic	portal
C0025141	medline	meds
C0243140	histopathological aspects	histopathology
C0243073	assay	assay
C0439119	upper case tea	t
C0439143	lower case tea	t
C0040722	transmission	transmission
C0700221	intravascular line	lining
C0684262	blood alcohol concentration	bal
C0222045	integumentary scale	scales
C1278899	entire maxillary sinus	maxillary sinus
C1281786	entire blastocyst	blastocyst
C1280619	entire atrium	atrium
C0439123	upper case why	y
C0439147	lower case why	y
C1305772	entire bony pelvis	pelvic bone
C0220848	heredity aspects	heredity
C1280540	entire buccal mucosa	buccal mucosa
C0376249	with frequency	frequency
C0852620	aphrodisiac procedure	aphrodisiac
C0723402	Sore Throat brand of phenol	sores throat
C1269578	entire substantia nigra	substantia nigra
C1283792	entire shoulder region	shoulders
C1269026	entire pulmonary artery	pulmonary artery
C1149811	esterase activity	esterase
C0993608	disk drug form	disks
C0161504	poisoning by antiviral drug	antiviral drugs
C0261780	adverse reaction to antiviral drugs	antiviral drugs
C1305915	entire xiphoid process of sternum	xiphoid process
C1278910	entire oral cavity	oral cavity
C0553724	male breast disorders	male breast
C1280211	entire intervertebral disc	intervertebral disc
C1305049	entire gluteus maximus muscle	gluteus maximus
C0243192	agonists	agonists
C1269052	entire tibial plateau	tibial plateau
C0439113	upper case emm	m
C1283367	entire glomus	glomus
C0079164	contraindications	contraindications
C0917925	cancer resistance to treatment	resistance
C0851346	radiation	RAI
C1269575	entire medulla oblongata	medulla oblongata
C1280187	entire cavernous sinus	cavernous sinus
C1278925	entire cecum	caecum
C0261936	adverse effects in the therapeutic use of tetanus vaccine	tetanus vaccine
C0449913	system (attribute)	systems
C0376223	the sun	sunning
C0033119	puncture wound	puncture
C1280200	entire peripheral nerve	peripheral nerve
C0151785	disease of mucous membrane	mucous membrane
C0024752	workforce	human resources
C1280390	entire hard palate	hard palate
C1279137	entire acromioclavicular joint	acromioclavicular joint
C0885848	urtica urens, homeopathic preparation	stinging nettle
C0392760	not free of (attribute)	nf
C0220844	growth aspects	growths
C1280711	entire glottis	glottis
C0348026	diagnostic	diagnostics
C1269881	entire basilar artery	basilar artery
C0448435	entire muscle of upper arm (body structure)	arm muscles
C1280087	entire waist (surface region)	waist
C0205450	four (qualifier value)	4
C0277631	death by strangulation (finding)	strangulation
C0541720	Release brand abscission agent	release
C0243077	inhibitors	inhibitor
C0243095	findings	find
C0175676	use of ultrasonography	echography
C0005768	in blood	blood in
C1283924	entire nose, accessory sinus and nasopharynx, cs	upper respiratory tract
C0038215	science of statistics	statistic
C1305773	entire symphysis pubis	pubic symphysis
C0025362	mental retardation	mrs
C0311284	lipoid dermatoarthritis	mrs
C0439068	upper case eye	i
C0439135	lower case eye	i
C0728863	probe brand of methazole herbicide	probe
C1288305	entire eyelash	eyelash
C0678226	due to	DT
C0050385	AC protocol	cas
C0201925	calcium measurement	cas
C1278907	entire bronchus	bronchus
C0684248	stage of surgical procedure	stage
C0220866	aspects of laws	laws
C1279099	entire ischium	ischium
C1280085	entire inguinal canal	inguinal canal
C0449851	techniques	technique
C0274845	toxic effect of trichloroethylene	trichloroethylene
C0040335	encounter due to tobacco use	tobacco use
C1171411	Support brand of multivitamin	support
C0038137	standards characteristics	standard
C0153440	malignant neoplasm of splenic flexure of colon	splenic flexure
C1278948	entire radial artery	radial artery
C0456079	disease classification level	level
C1149513	pheromone activity	pheromone
C0935919	cellular structure aspects	cell structure
C1279048	entire axillary lymph node	axillary lymph nodes
C1269085	entire ligament of ankle joint	ankle ligaments
C1267110	entire synovial joint	synovial joint
C1269600	entire palpebral fissure	fissures palpebral
C1279060	entire maxilla	maxilla
C1149837	lipoprotein lipase activity	lipoprotein lipase
C1140621	leg	leg anatomy
C1148592	lectin activity	lectin
C1305431	entire lumbar disc (body structure)	lumbar disc
C0470210	5	five
C0750480	count	counting
C0521009	bacterial	bacterias
C0161634	poisoning by antitussive	antitussives
C0261908	adverse reaction to antitussives	antitussives
C1279054	entire temporal bone	temporal bone
C1278872	entire sympathetic nerve	sympathetic nerve
C0332287	in addition to	pls
C0884854	physical devices	physicals
C0004795	baseball game	baseball
C0001688	adverse effects	side effect
C0205467	mycological	mycology
C1281984	entire cerebellar tonsil	cerebellar tonsils
C0220784	anatomic	anatomical
C0153454	malignant neoplasm of ampulla of vater	ampulla of vater
C0225079	entire collateral carpal ulnar ligament	ulnar collateral ligament
C0036525	metastatic to	secondary
C1278867	entire saphenous nerve	saphenous nerve
C0031328	pharmacokinetic	pharmacokinetic
C0677546	old episode	old
C1269045	entire skeletal muscle of neck	neck muscle
C1305356	entire soleus	soleus
C1280898	entire psoas muscle	psoas muscle
C0205464	pharmacological	mechanism of action
C1282773	entire long bone	bones long
C1278892	entire lens	lens
C1278858	entire pudendal nerve	pudendal nerve
C1151518	peroxidase activity	peroxidase
C1280672	entire nasal cavity	nasal cavity
C0220866	aspects of laws	law
C0376244	funding aspects	funding
C0220790	bacteriologic aspects	bacteriology
C1304811	congenital	congenita
C0220936	virulent characteristics	virulence
C1282774	entire short bone	bones short
C1278984	entire seminal vesicle	seminal vesicles
C1149455	inhibin activity	inhibin
C0439111	upper case aitch	h
C0439134	lower case aitch	h
C1283900	entire head and neck	head neck
C0695273	encounter due to patient having artificial skin	artificial skin
C1149069	aromatase activity	aromatase
C0040833	trends	trends
C1278983	entire spermatic cord	spermatic cord
C1278886	entire lacrimal gland	lacrimal gland
C1305737	entire fetus	foetus
C0543484	catabolic aspects	catabolism
C0228319	anteromedial nucleus	am
C1152582	peptidase inhibitor activity	protease inhibitor
C1306819	entire prepuce	prepuce
C1269012	entire middle cerebral artery	middle cerebral artery
C1269843	entire hemidiaphragm	hemidiaphragm
C0450290	entire fovea centralis	fovea
C1280836	entire body organ	body organs
C1305382	entire bartholin's gland	bartholin's gland
C0200416	antithrombin iii measurement	antithrombin iii
C1269041	entire abdominal wall	abdominal wall
C1321591	respite care - specialty (qualifier value)	respite care
C1283798	entire respiratory tract	respiratory tract
C0224441	entire rectus femoris	rectus femoris
C1268974	entire nasal septum	nasal septum
C1283841	entire abdominal cavity	abdominal cavity
C0004083	mental association	association
